campaign,arm,setup_id,state,seconds,first_use_seconds,input_bytes,output_bytes,public_bytes,peak_rss_MiB,encryption_seconds,evaluation_seconds,recipient_seconds,receipt_sha256,output_sha256
shared_backend_composition,control,2,warm,7.6955350069999895,7.781928413000003,362822688,137375408,1048704,63.12109375,3.6843320460001507,0.0923697269998911,1.4367921269999329,19a632ac3404696aa3f2ab1d756af09fa2fa4dcb520d54a42aa5a85474408ed0,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,3,cold,1.7723148979999905,3.778557968000001,108004000,3145864,311428896,499.15625,0.9410387490000005,0.6077277229999822,0.028250708000001623,8f08221e0fdc42ee5278af16c20c087728c1b5cac1d97784841ff42d31fd853f,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,3,warm,1.7370259760000124,3.778557968000001,108004000,3145864,311428896,499.15625,0.9089649060000227,0.6048022730000184,0.028835557999997263,8f08221e0fdc42ee5278af16c20c087728c1b5cac1d97784841ff42d31fd853f,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,4,cold,1.7682770269999821,3.7977899959999775,108004000,3145864,311428896,499.53125,0.9455094759999838,0.6017276949999939,0.028231340999980148,c475ca3e9ca80591438c5639831c5bfa59f8b495fc21fdfdb1274142bfe87d8f,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,4,warm,1.709756920000018,3.7977899959999775,108004000,3145864,311428896,499.53125,0.8997445339999786,0.5894948530000192,0.0283722570000009,c475ca3e9ca80591438c5639831c5bfa59f8b495fc21fdfdb1274142bfe87d8f,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,control,5,cold,7.705324393000012,7.79172954500001,362822688,137375408,1048704,63.4609375,3.672287450000397,0.0924815789997524,1.435077725999463,9ece8872c0a3f54a15c566df9599e015be79d3fd21f6a425eeb4e9b6ea37fd1a,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,control,5,warm,7.729049088000011,7.79172954500001,362822688,137375408,1048704,63.4609375,3.672276135999766,0.09205890900005897,1.4359298560004277,9ece8872c0a3f54a15c566df9599e015be79d3fd21f6a425eeb4e9b6ea37fd1a,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,control,6,cold,7.772317639999983,7.860467044000018,362822688,137375408,1048704,63.4296875,3.6984420059995955,0.0923690549998355,1.4365684610002063,a28e1a84e8e9b16cc40e5852e1d6d5674bb3fbefb63ae136efbf0168f0808d6c,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,control,6,warm,7.6959508130000245,7.860467044000018,362822688,137375408,1048704,63.4296875,3.6962592689998246,0.0916154900003221,1.4339855160002344,a28e1a84e8e9b16cc40e5852e1d6d5674bb3fbefb63ae136efbf0168f0808d6c,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,7,cold,1.780274401999975,3.8098488499999803,108004000,3145864,311428896,499.859375,0.9488724749999733,0.6063023270000372,0.02877543400001059,59bf54d48eff9dc578b4259a0ac55ca62b0ef9bf6f279e6561bc10b4a3a0e59a,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,7,warm,1.7237411140000063,3.8098488499999803,108004000,3145864,311428896,499.859375,0.9063900210000497,0.5932370040000023,0.028471899000010126,59bf54d48eff9dc578b4259a0ac55ca62b0ef9bf6f279e6561bc10b4a3a0e59a,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
